set,cost,key,traits,health,attackDamage,damagePerSecond,attackRange,attackSpeed,armor,magicalResistance,skill.startingMana,skill.skillMana,skill.stats
1,"[3, 5, 7]",Aatrox,"['Demon', 'Blademaster']","[700, 1260, 2268]","[65, 117, 211]","[42, 76, 137]",1,0.65,35,20,0,75,"[300, 600, 900]"
1,"[2, 4, 6]",Ahri,"['Wild', 'Sorcerer']","[450, 810, 1458]","[50, 90, 162]","[28, 50, 89]",3,0.55,20,20,0,75,"[100, 200, 300]"
1,"[4, 6, 8]",Akali,"['Ninja', 'Assassin']","[650, 1170, 2106]","[80, 144, 259]","[64, 115, 207]",1,0.8,20,20,0,25,"[200, 350, 500]"
1,"[5, 7, 9]",Anivia,"['Glacial', 'Elementalist']","[750, 1350, 2430]","[40, 72, 130]","[32, 58, 104]",3,0.8,20,20,50,125,"[800, 950, 1200]"
1,"[3, 5, 7]",Ashe,"['Glacial', 'Ranger']","[550, 990, 1782.0000000000002]","[65, 117, 211]","[46, 82, 148]",4,0.7,20,20,0,125,"[200, 400, 600]"
1,"[4, 6, 8]",AurelionSol,"['Dragon', 'Sorcerer']","[650, 1170, 2106]","[40, 72, 130]","[24, 43, 78]",3,0.6,20,20,0,125,"[250, 500, 750]"
1,"[2, 4, 6]",Blitzcrank,"['Robot', 'Brawler']","[650, 1170, 2106]","[50, 90, 162]","[25, 45, 81]",1,0.5,35,20,0,125,"[250, 550, 850]"
1,"[4, 6, 8]",Brand,"['Demon', 'Elementalist']","[700, 1260, 2268]","[60, 108, 194]","[36, 65, 116]",3,0.6,25,20,50,150,"[250, 450, 650]"
1,"[2, 4, 6]",Braum,"['Glacial', 'Guardian']","[650, 1170, 2106]","[40, 72, 130]","[24, 43, 78]",1,0.6,75,20,0,75,"[70, 80, 90]"
1,"[1, 3, 5]",Camille,"['Hextech', 'Blademaster']","[550, 990, 1782.0000000000002]","[55, 99, 178]","[33, 59, 107]",1,0.6,30,20,75,125,"[200, 325, 450]"
1,"[4, 6, 8]",Chogath,"['Void', 'Brawler']","[1000, 1800, 3240]","[70, 126, 227]","[42, 76, 136]",1,0.6,20,20,50,150,"[200, 400, 600]"
1,"[1, 3, 5]",Darius,"['Imperial', 'Knight']","[600, 1080, 1944.0000000000002]","[50, 90, 162]","[25, 45, 81]",1,0.5,40,20,0,100,"[150, 200, 250]"
1,"[4, 6, 8]",Draven,"['Imperial', 'Blademaster']","[650, 1170, 2106]","[65, 117, 211]","[49, 88, 158]",3,0.75,25,20,0,50,"[1, 5, 2, 2, 5]"
1,"[1, 3, 5]",Elise,"['Demon', 'Shapeshifter']","[500, 900, 1620]","[45, 81, 146]","[27, 49, 88]",2,0.6,20,20,0,100,"[60, 90, 120]"
1,"[3, 5, 7]",Evelynn,"['Demon', 'Assassin']","[550, 990, 1782.0000000000002]","[70, 126, 227]","[42, 76, 136]",1,0.6,20,20,0,75,"[200, 300, 400]"
1,"[1, 3, 5]",Fiora,"['Noble', 'Blademaster']","[450, 810, 1458]","[40, 72, 130]","[40, 72, 130]",1,1.0,25,20,0,75,"[100, 250, 400]"
1,"[3, 5, 7]",Gangplank,"['Pirate', 'Blademaster', 'Gunslinger']","[700, 1260, 2268]","[60, 108, 194]","[39, 70, 126]",1,0.65,20,20,0,100,"[150, 250, 350]"
1,"[1, 3, 5]",Garen,"['Noble', 'Knight']","[600, 1080, 1944.0000000000002]","[50, 90, 162]","[30, 54, 97]",1,0.6,40,20,0,100,"[40, 65, 90]"
1,"[4, 6, 8]",Gnar,"['Yordle', 'Wild', 'Shapeshifter']","[700, 1260, 2268]","[50, 90, 162]","[35, 63, 113]",2,0.7,30,20,0,100,"[200, 300, 400]"
1,"[1, 3, 5]",Graves,"['Pirate', 'Gunslinger']","[450, 810, 1458]","[55, 99, 178]","[30, 54, 98]",1,0.55,30,20,0,0,"[5, 10, 15]"
1,"[2, 4, 6]",Jayce,"['Hextech', 'Shapeshifter']","[600, 1080, 1944.0000000000002]","[60, 108, 194]","[39, 70, 126]",1,0.65,35,20,50,100,"[200, 350, 500]"
1,"[4, 6, 8]",Jinx,"['Hextech', 'Gunslinger']","[550, 990, 1782.0000000000002]","[75, 135, 243]","[53, 95, 170]",3,0.7,20,20,0,0,"[60, 80, 100]"
1,"[5, 7, 9]",Kaisa,"['Void', 'Assassin', 'Ranger']","[700, 1260, 2268]","[55, 99, 178]","[69, 124, 223]",2,1.25,20,20,50,125,"[50, 75, 100]"
1,"[5, 7, 9]",Karthus,"['Phantom', 'Sorcerer']","[850, 1530, 2754]","[65, 117, 211]","[42, 76, 137]",3,0.65,25,20,40,125,"[350, 600, 850]"
